product_name,product_price,product_description
Wireless Headphones,$49.99,Enjoy music without wires.
Avia Sofa,$699,Modern tufted sofa with mid-century flair.
Swatch Originals GN718,$60,Classic black and white design.
Azure Dazzle,$129,Sparkling blue gemstone pendant on silver chain.
Floating Shelf,$49.99,A minimalist shelf with invisible mounting.
Norton 360 Deluxe,$49.99,Comprehensive online security with VPN and password manager.
Moisturizing Gloves for Dry Hands,$9.99,Soft microfiber gloves lock in moisture for smoother hands.
Korloy Carbide Milling Insert,$4.76,"Sharp, high-performance cutting tool for metalworking."
Presto Food Dehydrator,$64.99,"Efficiently dehydrates fruits, vegetables, and meats."
Fossil Gen 5E,$199.00,Smartwatch with fitness tracking and heart rate monitoring.
Casablanca: 70th Anniversary Edition,$19.99,An iconic romance set in World War II Africa.
Desk Organizer Set,$14.99,Keep your desk tidy and organized with this stylish set.
Chrono Classic by Victorinox,$450,"Swiss-made, water-resistant watch with chronograph function."
The Prestige (Blu-ray),$9.99,Nolan directed thriller about rival magicians.
Garden Kneeler and Seat,$49.99,A versatile garden bench that converts to a kneeler.
Sackboy: A Big Adventure,$59.99,Join Sackboy on a whimsical adventure.
PetSafe Busy Buddy Squirrel Dude,$4.49,Interactive treat-dispensing dog toy.
Air Cleaner,$29.99,Reduce dust and allergies with a compact and easy-to-use air cleaner.
Slice and Dice,$29.99,A set of 3 versatile knives for all chopping needs.
Pogo Ball,$24.99,"Bounce, balance, and jump with this classic toy."
Thrive Causemetics Liquid Lash Extensions Mascara,$24,Volumizing mascara for natural-looking lashes.
Eucalyptus Adirondack Chair Set,$349.99,Stylish and sustainable outdoor furniture set.
Rainbow Stacking Cups,$12.99,Colorful cups for stacking and nesting.
Gretsch Catalina Maple 6-Piece Drum Set,"$1,199.99",High-quality maple drum kit for aspiring drummers.
MedLine Remedy Phytoplex Hydrating Cleanser,$11.05,"A gentle, soap-free cleanser for sensitive skin."
American Royals 2: Majesty,$16.59,A royal drama sequel.
Silver Love Knot Ring,$49.99,A timeless symbol of everlasting love.
Qi Wireless Charger,$24.99,Charge your phone without cables.
3-Tier Rolling Cart,$29.99,Compact mobile storage solution.
Infinity,$99,Sleek and bold black chronograph watch.
Solar-Powered Flamingo Garden Light,$24.99,Bright pink flamingo light powered by the sun.
Ninja Coffee Bar Auto-IQ Brewer,$149.99,Makes coffeehouse-style drinks at home.
Blade Runner: 2049,$12.99,Action-packed sci-fi sequel.
Silk Scrunchie Set,$12.99,A set of three silk scrunchies in pretty pastels.
Beanbag Chair,$79.99,"Cozy, comfortable and flexible seating solution for your living room."
Printable Vinyl Sheets for Inkjet Printers,$12.99,Easily print custom stickers and decals from home.
CRASH Team Racing Nitro-Fueled,$39.99,Speed down memory lane.
Acoustic Guitar Combo,$259.99,All-in-one guitar package with gig bag and tuner.
Jeni's Splendid Ice Creams,$12.00,"Handmade, small-batch ice cream with unique flavors."
SmartDraft Portable Drafting Table,$99.99,"Lightweight and sturdy, turns any surface into a drafting table."
GE Enbrighten LED Puck Lights,$24.99,Wireless dimmable lights for cabinets and closets.
FurHaven Deluxe Orthopedic Dog Bed,$39.99,"Plush, supportive foam for ultimate comfort."
Paint by Numbers Kit,$19.99,Recreate beautiful art with paint by numbers.
Jurassic Park 25th Anniversary Collection,$44.99,Relive the epic adventure featuring all 5 films.
Hydro Flask Water Bottle,$39.95,Keeps your drinks cold for 24 hrs.
"Acrylic Sheet, Transparent",$29.99,Clear protective surface for items or projects.
Adobe Creative Cloud Photography Plan,$9.99/month,Access essential tools for photo editing and organization.
Baby Einstein Glow & Discover Light Bar,$19.99,Interactive light-up toy for sensory development.
Crash Bandicoot 4: It's About Time,$59.99,New levels & characters in a time-bending adventure.
Pocket Ukulele,$39.99,"Compact and travel-friendly, great for beginners."
Flexi Stand,$19.99,"Ergonomic, foldable laptop stand."
The Grippy,$9.99,Securely grips your phone while driving.
Hair Growth Treatment,$29.99,Stimulate hair growth with natural ingredients.
Silver Eagle Bullion Coin,$35.99,Invest in a timeless classic.
Honey Stinger Organic Energy Chews,$27.99,Natural energy source for athletes on the go.
Logitech MK270 Wireless Keyboard and Mouse Combo,$24.99,Reliable wireless combo for effortless typing and navigating.
BlazePro LED Headlamp Flashlight,$27.99,"Lightweight and waterproof, perfect for outdoor activities."
Brain Age: Train Your Brain in Minutes a Day!,$19.99,Train your brain with fun puzzles!
Dreamy Unicorn Mug,$12.99,Sip your morning coffee with magical cuteness.
Adobe Creative Cloud,$52.99/month,Professional-grade design software.
My Brilliant Friend,$14.95,An immersive story of two childhood friends in post-war Italy.
The Lighthouse,$14.99,A gripping tale of two lighthouse keepers' descent into madness.
Wrist Rest Mouse Pad,$12.99,Ergonomic wrist support while using a mouse.
Chewy Tug Toy,$9.99,Durable toy for playtime and dental health.
Slim Magnetic Door Stopper,$12.99,Sleek and strong door stopper with magnetic hold.
Emerald Green Geometric Planter,$24.99,Handmade ceramic planter in striking emerald green.
Royal Basmati Rice,$17.99,Authentic long-grain rice with rich aroma.
Acid Resistance Safety Goggles,$15.99,Protective goggles for handling corrosive chemicals.
All-In-One Camping Stove,$69.99,Compact stove with multiple cooking functions.
Facial Ice Roller,$19.99,Soothes and depuffs tired skin with a cool massage.
Ultima 2-in-1 Vacuum and Mop,$199.99,Effortlessly clean and sanitize your floors with one device.
Sherpa-lined Denim Jacket,$99.99,Stay warm in style with our cozy denim jacket.
Handcrafted Brass Napkin Rings,$19.99,Add a touch of elegance to your dining table with these artisanal napkin rings made of solid brass.
Waterpik Cordless Water Flosser,$69.99,Cordless and rechargeable flosser for a healthier smile.
Waterpik Cordless Freedom Water Flosser,$49.99,"Easy, portable flossing for improved oral health."
Retro Sunglasses,$39.99,Vintage-inspired shades with UV protection.
Solar Garden Lights,$29.99,Illuminate your garden with these solar-powered lights.
AutoSeatPro,$24.99,Waterproof car seat protector.
Suncoast Polymer Coated Wood Screw,$6.99,Strong and rust-free wood screw.
Gold Leaf Earrings,$49.99,Elegant gold earrings inspired by nature.
Cherry Blossom Scarf,$24.99,Soft and airy scarf with delicate floral print.
LensPen Elite Compact Camera Lens Cleaner,$9.99,Removes fingerprints and smudges for clear photos.
Gothic Lace Fingerless Gloves,$9.99,Delicate lace gloves add a touch of dark elegance.
Vitamin C Drops,$9.99,Immune-boosting drops with refreshing citrus flavor.
Forrest Gump [Blu-Ray],$12.99,A heartwarming tale of life's unpredictable nature.
QuickBooks Desktop Pro 2021,$299.99,Streamline accounting and payroll for small businesses.
Baby Banana Toothbrush,$8.99,A soft-bristled toothbrush that doubles as a teether.
Glitter Headband,$9.99,Add some sparkle to your hairstyle with this headband.
Funky Socks,$12,Colorful patterned socks for a pop of personality.
Paint Shop Pro Ultimate,$79.99,Professional photo editing software.
The Water Dancer,$18.89,Story of a young man born into slavery.
Spicy Ghost Pepper Popcorn,$4.99,Fiery popcorn with a serious kick!
Roadster,"$29,999",Sleek electric sports car with 250 mile range.
Rustic Coffee Table,$299.99,Handcrafted solid wood with rustic finish.
Geisha Roll Sushi Wraps,$5.99,Japanese-style sushi wraps made with premium nori seaweed.
Wanderlust,$185,Elegant and affordable world map watch.
Inateck 13-13.3 inch Laptop Sleeve,$16.99,"Slim, lightweight, and shockproof laptop sleeve."
Sunset Stripe Scarf,$29.99,Lightweight scarf with warm sunset colors.
Black+Decker LD120VA 20-Volt Max Lithium Drill/Driver with Accessories,$58.51,"Powerful, versatile drill/driver with 30 accessories."
Sonic Mania Plus,N/A,Classic platformer with new content.
Leaf Rake,$19.99,Efficiently rakes leaves & debris.
SuperCool Ice Chest,$99.99,Keep beverages ice-cold for hours!
Calligraphy Brush Pens Set,$18.99,Create beautiful lettering with ease.
Crazy Catch Rebound Net,$149.99,Multi-purpose sports training net for all levels.
The Overstory,$18.00,A Pulitzer Prize-winning novel about trees and our interconnectedness with nature.
Kodak PRINTOMATIC Instant Print Camera,$69.99,Snap and print photos instantly.
Magic Bullet Blender,$29.99,Compact and convenient blender for smoothies and shakes.
Geometric Wooden Coasters,$28,Handcrafted natural wood coasters in modern geometric shapes.
Antique French Bronze Harlequin Statue,$499.99,"Exquisite, one-of-a-kind piece for collectors."
Rustica Slouchy Beanie,$29.99,"Stay cozy and chic with this soft, oversized beanie."
Smart Charging Pad,$49.99,"Wireless charger for multiple devices, plus built-in USB ports."
Geometric Ceramic Planter,$24.99,Colorful ceramic planter with unique geometric design.
Fitbit Inspire 2 Fitness Tracker,$99.95,"Monitor daily activity, heart rate, and sleep."
Platinum Pets Non-Tip Stainless Steel Dog Bowl,$16.99,Stainless steel dog bowl with non-tip design.
Galia Lahav Earrings,$875,Artistic gold studs with pear-shaped diamonds.
Flower String Lights,$19.99,Create a cozy atmosphere with these delicate floral lights.
Gravity Skateboard,$89.99,Experience the thrill of cruising on this sleek board.
Calming Lavender Essential Oil Roll-On,$9.99,Relax and unwind with this soothing aromatherapy blend.
ProFly Camo Hammock,$69.95,"Lightweight and durable, this hammock delivers exceptional comfort on any outdoor adventure."
Auto Cool Solar Powered Car Fan,$19.99,Keeps your car cool in the summer heat.
GoPro HERO9 Black,$449.99,Capture stunning 5K video and 20MP photos on an ultra-stabilized camera.
Strumstick,$139.00,A three-stringed guitar-like instrument with simple tuning.
Panasonic Lumix FZ300,$397.99,"4K photo and video with fast, f/2.8 lens."
Ratchet & Clank: Rift Apart,$69.99,Travel through rifts and alternate dimensions to stop an evil emperor.
Floral Print Headband,$12.99,Add a pop of color and style to your hair-do with this floral print headband.
Butterfly Solar Lights,$29.99,"Beautiful, colorful lights for your garden."
Smart Power Strip,$29.99,Voice-controlled power strip with surge protection.
Scrivener,$49.00,A powerful writing tool for aspiring authors.
JAM Paper Plastic File Folder,$2.49,Durable alternative to paper files.
Memo Cube,$4.99,Keep track of important notes easily.
Zen Chair,$299,"Experience ultimate relaxation with this sleek, modern chair."
Gorilla Super Glue Gel,$7.84,Strong adhesive gel for multiple surfaces.
Atomic Timekeeping Watch,$200,Syncs to radio waves for precision timekeeping.
Hair Ties with Bow,$7.99,Cute and stylish hair accessory.
Star Wars: The Force Awakens,$19.99,Join the Resistance against the First Order.
Mirage Earrings,$59.99,Bold and elegant with a touch of glamour.
Air Fryer,$79.99,"Crispy, healthier meals without added oil."
UV-C Sanitizer Wand,$39.99,Kills 99.9% bacteria and viruses on surfaces.
Ultra-thin Wireless Keyboard,$39.99,"Sleek design, comfortable typing, Bluetooth."
Airspeed Men's Quartz Watch,$120,Aviator style with a stainless steel band.
Debris Forming Watch,$399.99,Self-cleaning watch with debris sensor.
Woof Whirl,$12.99,Interactive dog toy for fetching and spinning.
Champion Sports Rhino Skin Dodgeball,$18.99,"Durable, non-sting foam ball for outdoor play."
Trailside Supply Co. Men's Fleece Zip Up Hoodie,$29.99,Warm and comfortable hoodie for outdoor activities.
Whisker City Cat Harness and Leash Set,$14.99,Comfortable and secure harness with reflective leash for cats.
Firebat Hero Bundle,$19.99,Get ready to burn your enemies with this special bundle that includes Firebat hero and exclusive in-game content!
Elder Scrolls V: Skyrim Special Edition,$39.99,Explore the open world of Tamriel in this immersive fantasy RPG.
Knit Pom-Pom Beanie,$24.99,"Soft and cozy, with a playful pom-pom on top."
Stonewall Kitchen Wild Maine Blueberry Jam,$7.99,"Sweet and tangy, with real Maine blueberries."
Pet Gear Easy Step III Pet Stairs,$49.99,Steps for small or elderly pets.
Flower Seed Starter Kit,$19.99,Grow your own flowers with ease.
Sound Shield,$49.99,Reduce background noise for better sound quality.
Adobe Creative Cloud,$52.99/month,Access industry-leading creative software.
Auto Lap Desk,$29.99,Portable desk for in-car use.
Speed Rope,$19.99,Jump rope for intense cardio workout.
Swan Chair,$399,Iconic mid-century modern design.
Mesh Link Bracelet,$29.99,Delicate and stylish silver mesh bracelet.
Gold Leather Earrings,$32.99,Handmade earrings made of leather and gold.
Logitech M185 Wireless Mouse,$14.99,Reliable wireless mouse for everyday use.
Leaf Blower,$99.99,Powerful tool for quick and easy yard cleanup.
Microflex Diamond Grip MF-300,$18.99,Textured latex gloves with a secure grip.
Cat5e Ethernet Cable - 20ft,$10.99,Fast and reliable wired connection for your devices.
Glowing Earbuds,$29.99,Wireless earbuds with LED lights.
Ceramic elephant plant holder,$29.99,Adorable elephant planter for succulents or herbs.
Aurora Borealis Earrings,$79.99,Glittering crystal studs shine in shades of purple and blue.
Nightmare Before Christmas Jack Skellington Figurine,$49.99,Decorate with this poseable character.
Stanley Kubrick: The Masterpiece Collection,$60.99,Essential masterpiece collection from legendary director Stanley Kubrick.
Tripod Feet Protectors,$14.99,Protect your tripod's feet and improve stability.
PopSockets PopGrip,$14.99,Stylish phone grip and stand.
SoundShaker SE-21,$149.99,Wireless audio transducer for immersive home theater experience.
Cozy Cable Knit Throw,$79.99,Handmade cozy blanket for chilly nights.
Harmony necklace,$69.99,Delicate crystal necklace symbolizing balance and unity.
Power Air Fryer XL,$99.99,Fry food using 80% less oil.
PetSafe Drinkwell 360 Dog and Cat Water Fountain,$64.95,"A multi-pet, multi-stream water fountain for fresh, filtered water."
Indigo Dyed Shibori Throw Pillow,$45.00,Add a touch of unique style to your home decor with this hand-dyed throw pillow.
ChronoSport,$89.99,A sturdy sport watch for outdoor activities.
PicKit Instant Picture Printer,$79.99,Print photos from your smartphone instantly.
Echo Dot (3rd Gen),$39.99,Smart speaker with Alexa.
